foodmenu_id,food_category,food_category_sub,name,description,rarity,coin,vegetable,meat,fish,seasoning,season,popular,flavor
3018,maindish,fish,漬けマグロ,漬けマグロの説明,1,3018,36,136,0,0,all,all,漬けマグロのフレーバーテキスト
3019,maindish,vegetable,うどん,うどんの説明,2,3019,37,137,0,0,all,all,うどんのフレーバーテキスト
3020,maindish,vegetable,揚げ豆腐,揚げ豆腐の説明,3,3020,38,138,0,0,all,all,揚げ豆腐のフレーバーテキスト
3021,maindish,vegetable,五目粥,五目粥の説明,4,3021,39,139,0,0,all,all,五目粥のフレーバーテキスト
3022,maindish,meat,骨付きステーキ,骨付きステーキの説明,5,3022,40,140,0,0,all,all,骨付きステーキのフレーバーテキスト
3023,maindish,fish,うな重,うな重の説明,1,3023,41,141,0,0,all,all,うな重のフレーバーテキスト
4001,dessert,dessert,クッキー,クッキーの説明,2,4001,42,142,0,0,all,all,クッキーのフレーバーテキスト
4002,dessert,dessert,団子,団子の説明,3,4002,43,143,0,0,all,all,団子のフレーバーテキスト
4003,dessert,dessert,七三タルト,七三タルトの説明,4,4003,44,144,0,0,all,all,七三タルトのフレーバーテキスト
4004,dessert,dessert,シャーベット,シャーベットの説明,5,4004,45,145,0,0,all,all,シャーベットのフレーバーテキスト
4005,dessert,dessert,ドーナッツ,ドーナッツの説明,1,4005,46,146,0,0,all,all,ドーナッツのフレーバーテキスト
4006,dessert,dessert,マカロン,マカロンの説明,2,4006,47,147,0,0,all,all,マカロンのフレーバーテキスト
4007,dessert,dessert,イチゴ大福,イチゴ大福の説明,3,4007,48,148,0,0,all,all,イチゴ大福のフレーバーテキスト
4008,dessert,dessert,イチゴショート,イチゴショートの説明,4,4008,49,149,0,0,all,all,イチゴショートのフレーバーテキスト
4009,dessert,dessert,ティラミス,ティラミスの説明,5,4009,50,150,0,0,all,all,ティラミスのフレーバーテキスト
